time_ms,voltage_mv
0,-70
0.000735030756215,-69.986556556
0.00147006151243,-69.9742614612
0.0026233617414,-69.9565013114
0.00438959305236,-69.9324748099
0.00785573958062,-69.8928757699
0.0113218861089,-69.8603594589
0.0147880326371,-69.8323185607
0.0222666144709,-69.7848088631
0.0297451963047,-69.7435427572
0.0429791313941,-69.6803001082
0.0562130664835,-69.6271282713
0.0871902997017,-69.5286846935
0.136833629519,-69.4157638285
0.186476959336,-69.3356373899
0.236120289153,-69.2718830944
0.285763618971,-69.2169137472
0.335406948788,-69.1673088932
0.385050278605,-69.1213674837
0.472651647717,-69.046520714
0.56025301683,-68.9774876704
0.647854385942,-68.9124838377
0.814729246992,-68.7970244552
0.981604108042,-68.6889772031
1.14847896909,-68.5862611275
1.31535383014,-68.4880531227
1.48222869119,-68.3936695896
1.64910355224,-68.3024949475
1.94158595601,-68.1490887994
2.23406835978,-68.0022583177
2.52655076355,-67.8607688199
3.00063911226,-67.6408469998
3.47472746097,-67.4305386027
3.94881580968,-67.2283932807
4.70763888634,-66.9192390678
5.466461963,-66.6256043592
6.22528503965,-66.3459774058
6.98410811631,-66.0788079191
7.74293119297,-65.8234123109
8.50175426963,-65.5786885727
9.26057734629,-65.3441671325
10.0194004229,-65.1193259211
10.7782234996,-64.9041309025
11.5370465763,-64.6973478883
12.2958696529,-64.4999900709
13.0546927296,-64.3106501714
13.8135158062,-64.129098392
14.5723388829,-63.9555600606
15.3311619596,-63.7912973989
16.0899850362,-63.6303827352
16.8488081129,-63.4773163457
17.6076311895,-63.3321387457
18.3664542662,-63.1924583187
19.1252773428,-63.0628984292
19.8841004195,-62.9413259622
20.6429234962,-62.8179733249
21.4017465728,-62.7054997722
22.1605696495,-62.60263191
22.9193927261,-62.5006594046
23.6782158028,-62.4055117557
24.4370388795,-62.3146031597
25.1958619561,-62.2112126801
25.9546850328,-62.1288187053
26.4640388676,-62.091973704
26.9733927024,-62.0481677801
27.4827465372,-61.9914761758
27.992100372,-61.9400721997
28.5014542068,-61.8962943787
29.0108080416,-61.8497052563
29.5201618764,-61.804035813
30.0295157112,-61.767416104
30.5388695461,-61.7277200435
31.0482233809,-61.6879822639
31.5575772157,-61.6543255923
32.0669310505,-61.6207883028
32.5762848853,-61.580495282
33.0856387201,-61.5545409328
33.5949925549,-61.5238779445
34.1043463897,-61.4869817779
34.6137002245,-61.4578830871
35.1230540594,-61.4382038652
35.4589851892,-61.413580687
35.794916319,-61.391571762
36.1308474489,-61.38103449
36.4667785787,-61.370377135
36.8027097086,-61.3537088659
37.1386408384,-61.3395418858
37.4745719683,-61.330088435
37.8105030981,-61.317569327
38.146434228,-61.3024028134
38.4823653578,-61.2901437068
38.8182964877,-61.2796359368
