time_ms,voltage_mv
268.274,-61.3278
270.149,-61.3224
272.024,-61.3251
273.898,-61.3234
275.773,-61.3256
277.648,-61.3274
279.523,-61.3184
281.398,-61.3207
283.273,-61.3211
285.148,-61.3167
287.023,-61.3168
288.898,-61.316
290.773,-61.3122
292.647,-61.3139
294.522,-61.3161
296.397,-61.3132
298.272,-61.3149
300.147,-61.3159
302.022,-61.3068
303.897,-61.3083
305.772,-61.3086
307.647,-61.3042
309.522,-61.304
311.396,-61.3076
313.271,-61.3003
315.146,-61.2981
317.021,-61.2992
318.896,-61.2981
320.771,-61.2997
322.646,-61.2975
324.521,-61.2948
326.396,-61.2949
328.271,-61.2919
330.145,-61.29
332.02,-61.2938
333.895,-61.2909
335.77,-61.2892
337.645,-61.2902
339.52,-61.2884
341.395,-61.285
343.27,-61.2878
345.145,-61.2868
347.02,-61.2793
348.894,-61.2836
350.769,-61.288
352.644,-61.2831
354.519,-61.283
356.394,-61.2789
358.269,-61.2742
360.144,-61.2807
362.019,-61.2778
363.894,-61.2752
365.769,-61.2768
367.643,-61.2754
369.518,-61.2694
371.393,-61.2732
373.268,-61.2743
375.143,-61.2707
377.018,-61.2699
378.893,-61.2665
380.768,-61.2636
382.643,-61.2676
384.517,-61.2639
386.392,-61.262
388.267,-61.2629
390.142,-61.2608
392.017,-61.2574
393.892,-61.2605
395.767,-61.2589
397.642,-61.2512
399.517,-61.2562
401.392,-61.2559
403.266,-61.2514
405.141,-61.2535
407.016,-61.2537
408.891,-61.2448
410.766,-61.248
412.641,-61.2557
414.516,-61.2493
416.391,-61.2499
418.266,-61.2458
420.141,-61.2388
422.015,-61.2467
423.89,-61.2461
424.918,-61.2425
425.945,-61.2427
426.972,-61.2439
428,-61.2399
429.027,-61.2392
430.054,-61.241
431.081,-61.2387
432.109,-61.2362
433.136,-61.2384
434.163,-61.2378
435.191,-61.2345
436.218,-61.2352
437.245,-61.2366
438.273,-61.2333
439.3,-61.2323
440.327,-61.2345
441.354,-61.2327
442.382,-61.23
443.409,-61.2318
444.436,-61.2318
445.464,-61.2285
446.491,-61.2283
447.518,-61.2284
448.546,-61.2266
450.744,-61.2272
452.942,-61.2258
455.141,-61.2224
457.339,-61.2246
459.537,-61.2241
461.736,-61.2217
463.934,-61.2207
466.132,-61.2175
468.331,-61.2159
470.529,-61.2185
472.727,-61.2139
474.926,-61.2126
477.124,-61.2133
479.323,-61.21
481.521,-61.2083
483.719,-61.2122
485.918,-61.2073
488.116,-61.2008
490.314,-61.2035
492.513,-61.1974
494.711,-61.1999
496.909,-61.1994
499.108,-61.1988
501.306,-61.1996
503.504,-61.1967
505.703,-61.1934
507.901,-61.1974
510.099,-61.1958
512.298,-61.1937
514.496,-61.1951
516.695,-61.1936
518.893,-61.188
521.091,-61.1915
523.29,-61.1904
525.488,-61.1867
527.686,-61.1885
529.885,-61.1874
532.083,-61.1795
534.281,-61.1839
536.48,-61.1888
538.678,-61.1831
540.876,-61.1835
543.075,-61.1779
545.273,-61.1723
547.471,-61.1821
549.67,-61.1768
551.868,-61.1739
554.067,-61.1775
556.265,-61.1741
558.463,-61.1661
560.662,-61.1756
562.86,-61.1737
565.058,-61.1685
567.257,-61.1738
569.455,-61.1713
571.653,-61.1673
573.852,-61.1705
576.05,-61.1657
578.248,-61.1655
580.447,-61.1638
582.645,-61.1578
584.843,-61.1586
587.042,-61.1568
589.24,-61.1509
591.439,-61.1528
593.637,-61.1504
595.835,-61.1506
598.034,-61.1531
600.232,-61.1466
602.43,-61.1446
604.629,-61.1451
606.827,-61.1439
609.025,-61.1454
611.224,-61.1429
613.422,-61.1404
615.62,-61.1433
617.819,-61.14
620.017,-61.134
622.215,-61.1411
624.414,-61.1409
626.612,-61.1377
628.811,-61.1357
631.009,-61.1342
633.207,-61.1328
635.406,-61.1327
637.604,-61.1301
639.802,-61.1288
642.001,-61.1282
644.199,-61.1259
646.397,-61.1249
648.596,-61.1265
650.794,-61.1229
652.992,-61.1203
655.191,-61.1207
657.389,-61.1168
659.587,-61.1152
661.786,-61.1211
663.984,-61.1154
666.183,-61.1139
668.381,-61.1161
670.579,-61.1144
672.778,-61.1145
674.976,-61.1158
677.174,-61.1096
679.373,-61.108
681.571,-61.1082
683.769,-61.1051
685.968,-61.1035
688.166,-61.1075
690.364,-61.103
692.563,-61.1017
694.761,-61.1032
696.96,-61.1001
699.158,-61.0979
701.356,-61.1027
703.555,-61.0984
705.753,-61.0905
707.951,-61.0941
710.15,-61.0887
712.348,-61.0823
714.546,-61.0868
716.745,-61.0853
718.943,-61.0882
721.141,-61.092
723.34,-61.0815
725.538,-61.0835
727.736,-61.0847
729.935,-61.0795
732.133,-61.0798
734.332,-61.0864
736.53,-61.0763
738.728,-61.0758
740.927,-61.0791
743.125,-61.0726
745.323,-61.0733
747.522,-61.0739
749.72,-61.0742
751.918,-61.0736
755.744,-61.072
759.57,-61.0706
763.395,-61.0692
767.221,-61.0675
771.046,-61.0661
774.872,-61.0652
778.698,-61.0628
782.523,-61.0609
786.349,-61.0613
790.174,-61.058
794,-61.0536
797.826,-61.0541
801.651,-61.0511
805.477,-61.0498
809.302,-61.0471
813.128,-61.0469
816.954,-61.047
820.779,-61.0421
824.605,-61.0419
828.431,-61.0404
832.256,-61.0394
836.082,-61.0373
839.907,-61.0364
843.733,-61.0357
849.93,-61.0321
856.127,-61.0289
862.324,-61.0266
868.521,-61.0242
874.718,-61.021
880.915,-61.0194
887.112,-61.0168
893.309,-61.0107
894.858,-61.011
896.408,-61.0106
897.957,-61.0091
899.506,-61.0094
901.055,-61.0098
902.605,-61.0075
904.154,-61.0069
905.703,-61.0085
907.252,-61.006
908.802,-61.004
910.351,-61.0068
911.9,-61.0053
913.45,-61.0008
914.999,-61.0042
916.548,-61.0054
918.097,-60.9979
919.647,-60.9996
921.196,-61.0001
922.745,-60.9945
924.294,-60.9977
925.844,-60.9974
927.393,-60.994
928.942,-60.9958
930.491,-60.9976
932.041,-60.9918
933.59,-60.993
935.139,-60.9937
936.688,-60.9893
938.238,-60.9912
939.787,-60.9949
941.336,-60.9924
942.885,-60.9924
944.435,-60.9947
945.984,-60.9893
947.533,-60.9876
949.082,-60.9925
950.632,-60.9886
952.181,-60.9828
953.73,-60.9903
955.279,-60.9877
956.829,-60.988
958.378,-60.987
959.927,-60.9833
962.384,-60.9844
964.84,-60.9832
967.296,-60.9777
969.753,-60.9825
972.209,-60.9814
974.665,-60.9777
977.122,-60.9802
979.578,-60.9788
982.034,-60.9769
984.491,-60.9757
986.947,-60.9745
989.403,-60.9736
991.86,-60.9725
994.316,-60.9704
998.023,-60.9689
1001.73,-60.9669
1005.44,-60.9647
1009.14,-60.9647
1012.85,-60.9632
1016.56,-60.9615
1020.26,-60.9611
1023.97,-60.9591
1027.68,-60.9557
1031.38,-60.9553
1035.09,-60.9519
1038.8,-60.949
1042.51,-60.9538
1046.21,-60.9489
1049.92,-60.9475
1053.63,-60.9502
1057.33,-60.9444
1061.04,-60.9429
1064.75,-60.944
1068.45,-60.9378
1072.16,-60.937
1075.87,-60.9371
1079.57,-60.9313
1083.28,-60.9311
1086.99,-60.9294
1090.69,-60.9291
1094.4,-60.9303
1098.11,-60.9278
1101.82,-60.9282
1105.52,-60.9289
1109.23,-60.921
1112.94,-60.9224
1116.64,-60.9213
1120.35,-60.9152
1124.06,-60.9177
1127.76,-60.9167
1131.47,-60.9123
1135.18,-60.9155
1138.88,-60.9139
1142.59,-60.9106
1146.3,-60.9097
1150,-60.9061
1153.71,-60.9041
1157.42,-60.9037
1161.13,-60.9011
1164.83,-60.9
1168.54,-60.8995
1172.25,-60.8986
1175.95,-60.8975
1179.66,-60.896
1183.37,-60.8951
1187.07,-60.895
1190.78,-60.892
1194.49,-60.8912
1198.19,-60.8902
1201.9,-60.8876
1205.61,-60.8871
1209.31,-60.8879
1213.02,-60.8829
1216.73,-60.8823
1220.43,-60.8815
1224.14,-60.8771
1227.85,-60.8774
1231.56,-60.8769
1235.26,-60.8736
1238.97,-60.8746
1242.68,-60.8736
1246.38,-60.871
1250.09,-60.872
1253.8,-60.8714
1257.5,-60.8695
1261.21,-60.8678
1264.92,-60.8656
1268.62,-60.8651
1272.33,-60.8641
1276.04,-60.861
1279.74,-60.862
1283.45,-60.862
1287.16,-60.8595
1290.87,-60.8588
1294.57,-60.8573
1298.28,-60.8564
1301.99,-60.8552
1305.69,-60.8516
1309.4,-60.8522
1313.11,-60.8506
1316.81,-60.8481
1320.52,-60.8484
1324.23,-60.847
1327.93,-60.8415
1331.64,-60.8447
1335.35,-60.843
1339.05,-60.839
1342.76,-60.842
1346.47,-60.84
1350.18,-60.8373
1353.88,-60.8397
1357.59,-60.8373
1361.3,-60.8363
1365,-60.8341
1368.71,-60.8306
1372.42,-60.8301
1376.12,-60.8275
1379.83,-60.8244
1383.54,-60.8279
1387.24,-60.8249
1390.95,-60.8233
1394.66,-60.8252
1398.36,-60.8215
1402.07,-60.8198
1405.78,-60.8205
1409.49,-60.8163
1413.19,-60.8151
1416.9,-60.815
1420.61,-60.8112
1424.31,-60.8108
1428.02,-60.8099
1431.73,-60.8064
1435.43,-60.8065
1439.14,-60.8085
1442.85,-60.8054
1446.55,-60.8056
1450.26,-60.8019
1453.97,-60.7986
1457.67,-60.8049
1461.38,-60.7991
1465.09,-60.7979
1468.8,-60.7963
1472.5,-60.796
1476.21,-60.7934
1479.92,-60.7913
1483.62,-60.7911
1487.33,-60.7898
1491.04,-60.7903
1494.74,-60.7883
1498.45,-60.7861
1502.16,-60.788
1505.86,-60.7851
1509.57,-60.78
1511.49,-60.7816
1513.41,-60.7804
1515.33,-60.7776
1517.25,-60.7814
1519.17,-60.7814
1521.1,-60.78
1523.02,-60.7815
1524.94,-60.781
1526.86,-60.7765
1528.78,-60.779
1530.7,-60.7777
1532.62,-60.7754
1534.54,-60.7774
1536.46,-60.777
1538.38,-60.7719
1540.3,-60.7733
1542.22,-60.7727
1544.15,-60.7687
1546.07,-60.7724
1547.99,-60.7712
1549.91,-60.7714
1551.83,-60.771
1553.75,-60.7689
1555.67,-60.769
1557.59,-60.7705
1559.51,-60.7673
1561.43,-60.7674
1563.35,-60.7679
1565.27,-60.7652
1567.2,-60.7652
1569.12,-60.7677
1571.04,-60.7657
1572.96,-60.7655
1574.88,-60.7671
1577.78,-60.7642
1580.68,-60.7642
1583.57,-60.7616
1586.47,-60.7584
1589.37,-60.7624
1592.27,-60.7598
1595.17,-60.7582
1598.07,-60.7597
1600.97,-60.7576
1603.87,-60.7532
1606.76,-60.7579
1609.66,-60.7561
1612.56,-60.754
1615.46,-60.756
1618.36,-60.7544
1621.26,-60.7478
1624.16,-60.7532
1627.05,-60.7518
1629.95,-60.7478
1632.85,-60.7512
1635.75,-60.7494
1638.65,-60.7466
1641.55,-60.749
1644.45,-60.7456
1647.35,-60.7438
1650.24,-60.745
1653.14,-60.7425
1656.04,-60.7389
1658.94,-60.7429
1661.84,-60.7402
1664.74,-60.7383
1667.64,-60.7401
1670.53,-60.7379
1673.43,-60.7328
1676.33,-60.734
1679.23,-60.7318
1682.13,-60.7325
1685.03,-60.7343
1687.93,-60.7275
1690.82,-60.7282
1693.72,-60.7282
1696.62,-60.7244
1699.52,-60.7246
1702.42,-60.7284
1705.32,-60.7207
1708.22,-60.7202
1711.12,-60.7212
1714.01,-60.7163
1716.91,-60.7159
1719.81,-60.7166
1722.71,-60.7166
1725.61,-60.7164
1728.51,-60.7159
1731.41,-60.7155
1734.3,-60.7158
1737.2,-60.7139
1740.1,-60.7137
1743,-60.7148
1745.9,-60.713
1748.8,-60.7129
1751.7,-60.7141
1754.6,-60.712
1757.49,-60.7116
1760.39,-60.7099
1763.29,-60.7077
1766.19,-60.7097
1769.09,-60.708
1771.99,-60.7067
1774.89,-60.7072
1777.78,-60.7059
1780.68,-60.703
1783.58,-60.7052
1786.48,-60.7041
1789.38,-60.698
1792.28,-60.7003
1795.18,-60.6981
1798.08,-60.6921
1800.97,-60.7007
1803.87,-60.6995
1806.77,-60.6978
1809.67,-60.6965
1812.57,-60.6964
1815.47,-60.6954
1818.37,-60.6934
1821.26,-60.694
1824.16,-60.6933
1827.06,-60.6896
1829.96,-60.6912
1832.86,-60.6928
1835.76,-60.6901
1838.66,-60.6923
1841.55,-60.6926
1844.45,-60.6834
1847.35,-60.6877
1850.25,-60.6873
1853.15,-60.6824
1856.05,-60.6849
1858.95,-60.6843
1861.85,-60.6812
1864.74,-60.6832
1867.64,-60.6821
1870.54,-60.68
1873.44,-60.6812
1876.34,-60.6797
1879.24,-60.6752
1882.14,-60.6785
1885.03,-60.6795
1887.93,-60.6769
1890.83,-60.6764
1893.73,-60.6731
1896.63,-60.6735
1899.53,-60.6743
1902.43,-60.6694
1905.33,-60.6706
1908.22,-60.6746
1911.12,-60.6653
1914.02,-60.6642
1916.92,-60.6656
1919.82,-60.6655
1922.72,-60.6653
1925.62,-60.6643
1928.51,-60.6632
1931.41,-60.6642
1934.31,-60.6623
1937.21,-60.6615
1940.11,-60.6616
1943.01,-60.6602
1945.91,-60.659
1948.81,-60.6604
1951.7,-60.6583
1954.6,-60.6555
1957.5,-60.6589
1960.4,-60.6576
1963.3,-60.6561
1966.2,-60.6575
1969.1,-60.6562
1971.99,-60.6551
1974.89,-60.6538
1977.79,-60.6519
1980.69,-60.6516
1983.59,-60.6506
1986.49,-60.6489
1989.39,-60.6494
1992.29,-60.649
1995.18,-60.6458
1998.08,-60.6471
2000.98,-60.6485
2003.88,-60.6462
2006.78,-60.6479
2009.68,-60.6481
2012.58,-60.6407
2015.47,-60.6439
2018.37,-60.6436
2021.27,-60.6397
2024.17,-60.6414
2027.07,-60.6427
2029.97,-60.6403
2032.87,-60.6434
2035.76,-60.6432
2038.66,-60.6336
2039.39,-60.6343
2040.11,-60.6357
2040.84,-60.6357
2041.98,-60.6359
2043.13,-60.6361
2045.33,-60.6353
2047.54,-60.6348
2049.74,-60.635
2051.94,-60.6335
2054.14,-60.6326
2056.35,-60.6324
2058.55,-60.6313
2060.75,-60.6306
2064.63,-60.6299
2068.5,-60.6293
2072.38,-60.6285
2076.25,-60.6275
2080.13,-60.6266
2084,-60.6258
2093.26,-60.6237
2102.52,-60.6215
2120.49,-60.6173
2138.46,-60.6132
2156.43,-60.6092
2174.4,-60.6049
2192.37,-60.6009
2210.34,-60.5968
2228.31,-60.5926
2246.27,-60.589
2264.24,-60.5853
2268.73,-60.5842
2273.23,-60.5835
2277.72,-60.5825
2284.72,-60.5809
2291.72,-60.5793
2298.72,-60.5777
2305.72,-60.5762
2312.72,-60.5747
2319.72,-60.5732
2332.57,-60.5705
2345.42,-60.5678
2369.33,-60.5629
2393.23,-60.558
2417.13,-60.5531
2454.73,-60.5457
2492.33,-60.5383
2529.92,-60.5312
2567.52,-60.5242
2605.12,-60.5173
2642.72,-60.5104
2680.31,-60.5037
2717.91,-60.4972
2755.51,-60.4907
2793.11,-60.4845
2830.71,-60.4782
2868.3,-60.4721
2877.7,-60.4707
2887.1,-60.4691
2896.5,-60.4677
2905.9,-60.4666
2915.3,-60.4649
2924.7,-60.4639
2934.1,-60.4627
2943.5,-60.4598
2952.9,-60.4595
2962.3,-60.4578
2971.7,-60.4565
2981.1,-60.4548
2990.5,-60.4537
2999.89,-60.4526
3009.29,-60.4509
3018.69,-60.4493
3028.09,-60.4475
3037.49,-60.4465
3046.89,-60.4452
3056.29,-60.443
3058.64,-60.443
3060.99,-60.4429
3064.86,-60.4423
3068.72,-60.4422
3074.55,-60.441
3080.38,-60.4399
3082.78,-60.44
3085.18,-60.4395
3087.58,-60.4388
3091.75,-60.4386
3095.92,-60.4378
3100.09,-60.4372
3104.26,-60.4369
3108.43,-60.4363
3115.02,-60.4354
3121.61,-60.4345
3128.2,-60.4336
3138.95,-60.4321
3149.69,-60.4306
3160.43,-60.4291
3179.09,-60.4266
3208.66,-60.4228
3216.05,-60.4217
3223.44,-60.4207
3230.83,-60.4197
3238.22,-60.4185
3245.61,-60.4177
3253,-60.4169
3265.42,-60.4153
3277.84,-60.4136
3290.25,-60.4116
3302.67,-60.4104
3315.08,-60.4087
3327.5,-60.4065
3339.92,-60.4064
3352.33,-60.4045
3364.75,-60.403
3377.16,-60.4011
3389.58,-60.3998
3402,-60.398
3414.41,-60.3959
3426.83,-60.3957
3439.24,-60.394
3451.66,-60.3926
3464.07,-60.3908
3476.49,-60.3895
3488.91,-60.3878
3501.32,-60.3858
3513.74,-60.3849
3526.15,-60.3832
3538.57,-60.3819
3550.99,-60.3807
3563.4,-60.3796
3583.72,-60.3773
3604.04,-60.3751
3624.36,-60.3732
3644.68,-60.3704
3649.76,-60.37
3654.84,-60.3695
3659.92,-60.3689
3665,-60.3684
3674.38,-60.3679
3683.76,-60.3666
3693.14,-60.3659
3702.52,-60.3649
3711.9,-60.3641
3721.28,-60.3631
3730.65,-60.3614
3740.03,-60.3613
3749.41,-60.3602
3758.79,-60.3592
3768.17,-60.358
3777.55,-60.357
3786.93,-60.3564
3796.31,-60.3552
3805.69,-60.354
3815.06,-60.3533
3824.44,-60.3523
3833.82,-60.3514
3843.2,-60.3504
3852.58,-60.3496
3861.96,-60.3492
3871.34,-60.3481
3880.72,-60.3478
3890.1,-60.3471
3899.47,-60.346
3908.85,-60.3457
3918.23,-60.3445
3927.61,-60.3434
3936.99,-60.343
3946.37,-60.3414
3955.75,-60.3405
3965.13,-60.34
3974.51,-60.3383
3983.88,-60.3376
3993.26,-60.3369
4002.64,-60.336
4012.02,-60.3361
4021.4,-60.3346
4030.78,-60.3336
4040.16,-60.3328
4049.54,-60.3322
4058.92,-60.3313
4068.29,-60.3306
4077.67,-60.33
4087.05,-60.3289
4096.43,-60.3279
4105.81,-60.3273
4115.19,-60.3266
4124.57,-60.3261
4138.91,-60.3247
4153.25,-60.3235
4167.59,-60.3223
4181.93,-60.3207
4196.28,-60.3201
4210.62,-60.3189
4224.96,-60.3179
4239.3,-60.3167
4253.64,-60.3156
4267.98,-60.3147
4282.32,-60.3135
4296.66,-60.3124
4311.01,-60.3116
4325.35,-60.3103
4339.69,-60.3095
4354.03,-60.3086
4368.37,-60.3074
4382.71,-60.3062
4397.05,-60.3048
4411.4,-60.304
4425.74,-60.3028
4440.08,-60.302
4454.42,-60.301
4468.76,-60.2997
4483.1,-60.2991
4497.44,-60.2985
4501.03,-60.2981
4504.61,-60.298
4508.2,-60.2979
4515.7,-60.2972
4523.2,-60.2966
4530.71,-60.296
4538.21,-60.2955
4545.71,-60.2951
4553.21,-60.2945
4560.71,-60.294
4568.21,-60.2936
4575.72,-60.2931
4583.22,-60.2926
4594.78,-60.2919
4606.33,-60.2911
4626.22,-60.2899
4669.55,-60.2872
4712.88,-60.2846
4756.22,-60.282
4799.55,-60.2796
4842.88,-60.2771
4886.22,-60.2747
4929.55,-60.2725
