time_ms,current_nA
13901.5100659,0.41454362374
13901.527193,0.414549789478
13901.54432,0.414555955217
13901.5614471,0.414562120955
13901.5785741,0.414568286693
13901.5957012,0.414574452431
13901.6128282,0.414580618169
13901.6299553,0.414586783907
13901.6470823,0.414592949645
13901.6642094,0.414599115383
13901.6756116,0.414603220167
13901.6870138,0.414607324951
13901.6984159,0.414611429735
13901.7098181,0.414615534519
13901.7212203,0.414619639303
13901.7326225,0.414623744087
13901.7440246,0.414627848871
13901.7554268,0.414631953655
13901.766829,0.414636058439
13901.7782312,0.414640163222
13901.7896334,0.414644268006
13901.8010355,0.41464837279
13901.8124377,0.414652477574
13901.8298024,0.414658728849
13901.847167,0.414664980124
13901.8645317,0.414671231399
13901.8818963,0.414677482674
13901.899261,0.414683733948
13901.9166256,0.414689985223
13901.9339903,0.414696236498
13901.9513549,0.414702487773
13901.9687196,0.414708739048
13901.9860842,0.414714990323
13902.0034489,0.414721241597
13902.0208135,0.414727492872
13902.0381782,0.414733744147
13902.0555428,0.414739995422
13902.0729075,0.414746246697
13902.0902721,0.414752497972
13902.1076368,0.414758749246
13902.1250014,0.414765000521
13902.1423661,0.414771251796
13902.1597308,0.414777503071
13902.1770954,0.414783754346
13902.1944601,0.414790005621
13902.2118247,0.414796256895
13902.2291894,0.41480250817
13902.246554,0.414808759445
13902.2639187,0.41481501072
13902.2812833,0.414821261995
13902.298648,0.41482751327
13902.3160126,0.414833764544
13902.3333773,0.414840015819
13902.3507419,0.414846267094
13902.3775114,0.414855904094
13902.4042808,0.414865541094
13902.4310503,0.414875178094
13902.4578197,0.414884815094
13902.4845892,0.414894452094
13902.5113586,0.414904089094
13902.538128,0.414913726095
13902.5557358,0.414920064899
13902.5733436,0.414926403703
13902.5909514,0.414932742508
13902.6085592,0.414939081312
13902.626167,0.414945420116
13902.6437748,0.414951758921
13902.6613826,0.414958097725
13902.6789904,0.414964436529
13902.6965981,0.414970775334
13902.7142059,0.414977114138
13902.7318137,0.414983452942
13902.7494215,0.414989791747
13902.7670293,0.414996130551
13902.7846371,0.415002469355
13902.8022449,0.41500880816
13902.8198527,0.415015146964
13902.8374605,0.415021485768
13902.8550683,0.415027824573
13902.872676,0.415034163377
13902.8994134,0.41504378881
13902.9261507,0.415053414243
13902.952888,0.415063039677
13902.9796253,0.41507266511
13903.0063626,0.415082290543
13903.0330999,0.415091915976
13903.0598372,0.415101541409
13903.0865746,0.415111166842
13903.1133119,0.415120792275
13903.1400492,0.415130417708
13903.1667865,0.415140043141
13903.1935238,0.415149668575
13903.2202611,0.415159294008
13903.2469984,0.415168919441
13903.2737358,0.415178544874
13903.3004731,0.415188170307
13903.3272104,0.41519779574
13903.3539477,0.415207421173
13903.380685,0.415217046606
13903.4074223,0.41522667204
13903.4341596,0.415236297473
13903.460897,0.415245922906
13903.4876343,0.415255548339
13903.5143716,0.415265173772
13903.5577114,0.415280776116
13903.6010513,0.415296378459
13903.6443911,0.415311980803
13903.687731,0.415327583146
13903.7547153,0.415351697517
13903.8216997,0.415375811888
13903.8886841,0.415399926258
13903.9556684,0.415424040629
13904.0226528,0.415448155
13904.0896371,0.415472269371
13904.1566215,0.415496383742
13904.2236059,0.415520498112
13904.2905902,0.415544612483
13904.3575746,0.415568726854
13904.424559,0.415592841225
13904.4915433,0.415616955595
13904.5937936,0.415653765695
13904.6960439,0.415690575795
13904.7982942,0.415727385895
13904.9005444,0.415764195995
13905.0027947,0.415801006095
13905.105045,0.415837816194
13905.2072953,0.415874626294
13905.3095455,0.415911436394
13905.4117958,0.415948246494
13905.5140461,0.415985056594
13905.6162964,0.416021866694
13905.7185466,0.416058676793
13905.8841239,0.416118284603
13906.0497011,0.416177892412
13906.2152784,0.416237500221
13906.3808556,0.41629710803
13906.5464329,0.41635671584
13906.7120101,0.416416323649
13906.8775874,0.416475931458
13907.0431646,0.416535539267
13907.3193518,0.416634966649
13907.595539,0.416734394032
13907.8717261,0.416833821414
13908.1479133,0.416933248796
13908.4241005,0.417032676178
13908.7002877,0.41713210356
13908.9764748,0.417231530942
13909.252662,0.417330958324
13909.5288492,0.417430385707
13909.8050364,0.417529813089
13910.0812235,0.417629240471
13910.3574107,0.417728667853
13910.6335979,0.417828095235
13910.909785,0.417927522617
13911.1859722,0.41802695
13911.4621594,0.418126377382
13911.7383466,0.418225804764
13912.0145337,0.418325232146
13912.2907209,0.418424659528
13912.5669081,0.41852408691
13912.8430953,0.418623514293
13913.1192824,0.418722941675
13913.3954696,0.418822369057
13913.6716568,0.418921796439
13913.9478439,0.419021223821
13914.2240311,0.419120651203
13914.5002183,0.419220078586
13914.7764055,0.419319505968
13915.0525926,0.41941893335
13915.3287798,0.419518360732
13915.604967,0.419617788114
13915.8811542,0.419717215496
13916.1573413,0.419816642879
13916.4335285,0.419916070261
13916.7097157,0.420015497643
13916.9859028,0.420114925025
13917.26209,0.420214352407
13917.5382772,0.420313779789
13917.8144644,0.420413207172
13918.0906515,0.420512634554
13918.3668387,0.420612061936
13918.6430259,0.420711489318
13918.9192131,0.4208109167
13919.1954002,0.420910344082
13919.4715874,0.421009771465
13919.7477746,0.421109198847
13920.0239617,0.421208626229
13920.3001489,0.421308053611
13920.5763361,0.421407480993
13920.8525233,0.421506908375
13921.1287104,0.421606335757
13921.4048976,0.42170576314
13921.6810848,0.421805190522
13921.957272,0.421904617904
13922.2334591,0.422004045286
13922.5096463,0.422103472668
13922.7858335,0.42220290005
13922.9880275,0.422275689911
13923.1902216,0.422348479771
13923.3924156,0.422421269632
13923.5946097,0.422494059492
13923.7968038,0.422566849353
13923.9989978,0.422639639213
13924.2011919,0.422712429074
13924.4033859,0.422785218934
13924.60558,0.422858008794
13924.807774,0.422930798655
13925.0099681,0.423003588515
13925.2121622,0.423076378376
13925.4143562,0.423149168236
13925.6165503,0.423221958097
13925.8187443,0.423294747957
13926.0209384,0.423367537818
13926.2231324,0.423440327678
13926.4253265,0.423513117538
13926.6275206,0.423585907399
13926.7762514,0.423639450504
13926.9249822,0.423692993609
13927.0737131,0.423746536714
13927.2224439,0.423800079819
13927.3711748,0.423853622924
13927.5199056,0.423907166028
13927.6686365,0.423960709133
13927.8173673,0.424014252238
13927.9660982,0.424067795343
13928.114829,0.424121338448
13928.2635599,0.424174881553
13928.4122907,0.424228424658
13928.5610216,0.424281967763
13928.7097524,0.424335510868
13928.8584833,0.424389053973
13929.0072141,0.424442597078
13929.155945,0.424496140183
13929.3046758,0.424549683288
13929.4534066,0.424603226393
13929.6021375,0.424656769497
13929.7508683,0.424710312602
13929.8995992,0.424763855707
13930.04833,0.424817398812
13930.1970609,0.424870941917
13930.3457917,0.424924485022
13930.4945226,0.424978028127
13930.6432534,0.425031571232
13930.7919843,0.425085114337
13930.9407151,0.425138657442
13931.089446,0.425192200547
13931.2381768,0.425245743652
13931.3869077,0.425299286757
13931.5356385,0.425352829862
13931.6843694,0.425406372967
13931.8331002,0.425459916071
13931.981831,0.425513459176
13932.1305619,0.425567002281
13932.2792927,0.425620545386
13932.4280236,0.425674088491
13932.5369693,0.425713308951
13932.645915,0.425752529411
13932.7548608,0.425791749871
13932.8638065,0.425830970331
13932.9727522,0.425870190791
13933.0816979,0.425909411252
13933.1906436,0.425948631712
13933.2995894,0.425987852172
13933.4085351,0.426027072632
13933.5174808,0.426066293092
13933.6264265,0.426105513552
13933.7353723,0.426144734012
13933.844318,0.426183954472
13933.9532637,0.426223174932
13934.0622094,0.426262395392
13934.1711551,0.426301615852
13934.2801009,0.426340836312
13934.3890466,0.426380056772
13934.4979923,0.426419277232
13934.606938,0.426458497692
13934.7158838,0.426497718152
13934.8248295,0.426536938613
13934.9337752,0.426576159073
13935.0427209,0.426615379533
13935.1516666,0.426654599993
13935.2606124,0.426693820453
13935.3695581,0.426733040913
13935.4785038,0.426772261373
13935.5874495,0.426811481833
13935.6963953,0.426850702293
13935.805341,0.426889922753
13935.9142867,0.426929143213
13936.0232324,0.426968363673
13936.1321781,0.427007584133
13936.2411239,0.427046804593
13936.3500696,0.427086025053
13936.4590153,0.427125245513
13936.567961,0.427164465974
13936.6769068,0.427203686434
13936.7858525,0.427242906894
13936.8947982,0.427282127354
13937.0037439,0.427321347814
13937.1126896,0.427360568274
13937.2216354,0.427399788734
13937.3305811,0.427439009194
13937.4395268,0.427478229654
13937.5484725,0.427517450114
13937.6574183,0.427556670574
13937.766364,0.427595891034
13937.8753097,0.427635111494
13937.9842554,0.427674331954
13938.0932012,0.427713552414
13938.2021469,0.427752772875
13938.3110926,0.427791993335
13938.4200383,0.427831213795
13938.528984,0.427870434255
13938.6379298,0.427909654715
13938.7468755,0.427948875175
13938.8558212,0.427988095635
13938.9326706,0.428015761423
13938.9870314,0.428035331318
13939.0413923,0.428054901213
13939.0957531,0.428074471108
13939.1501139,0.428094041003
13939.2044747,0.428113610898
13939.2588355,0.428133180793
13939.3131964,0.428152750688
13939.3675572,0.428172320583
13939.421918,0.428191890478
13939.4762788,0.428211460373
13939.5306396,0.428231030268
13939.5850005,0.428250600163
13939.6393613,0.428270170058
13939.6937221,0.428289739953
13939.7480829,0.428309309848
13939.8024437,0.428328879743
13939.8568046,0.428348449638
13939.9111654,0.428368019533
13939.9655262,0.428387589428
13940.019887,0.428407159324
13940.0742478,0.428426729219
13940.1286086,0.428446299114
13940.1829695,0.428465869009
13940.2373303,0.428485438904
13940.2916911,0.428505008799
13940.3734872,0.428534455382
13940.4552832,0.428563901965
13940.5370793,0.428593348548
13940.6188754,0.428622795132
13940.7541023,0.428671476817
13940.8893292,0.428720158503
13941.0245561,0.428768840189
13941.2557763,0.42885207948
13941.4869966,0.428935318771
13941.7182168,0.429018558063
13941.9494371,0.429101797354
13942.1806573,0.429185036646
13942.4118776,0.429268275937
13942.6430979,0.429351515228
13942.8743181,0.42943475452
13943.2974663,0.429587087883
13943.7206146,0.429739421245
13944.1437628,0.429891754608
13944.566911,0.430044087971
13945.238863,0.430285990673
13945.9108149,0.430527893376
13946.5827669,0.430769796079
13947.2547188,0.431011698781
13947.9266708,0.431253601484
13948.5986227,0.431495504187
13949.2705747,0.431737406889
13949.9425266,0.431979309592
13950.1105146,0.432039785268
13950.2785026,0.432100260943
13950.4464906,0.432160736619
13950.8486736,0.432305522479
13951.2508565,0.432450308339
13951.6530394,0.432595094199
13952.0552224,0.432739880059
13952.4574053,0.432884665919
13952.8595883,0.433029451779
13953.0651675,0.433103460295
13953.2707467,0.43317746881
13953.3221415,0.433195970939
13953.3735363,0.433214473068
13953.4748177,0.433250934363
13953.500138,0.433260049686
13953.5254584,0.43326916501
13953.5638571,0.433282988564
13953.6022559,0.433296812119
13953.6118556,0.433300268008
13953.6214553,0.433303723896
13953.6362119,0.433309036284
13953.6608302,0.433317898862
13953.6749281,0.4333229741
13953.6890259,0.433328049338
13953.7031238,0.433333124576
13953.7172217,0.433338199814
13953.7249041,0.433340965466
13953.7325864,0.433343731118
13953.7402688,0.433346496771
13953.7479512,0.433349262423
13953.7556335,0.433352028075
13953.7633159,0.433354793728
13953.7709983,0.43335755938
13953.7786806,0.433360325032
13953.786363,0.433363090685
13953.7940454,0.433365856337
13953.8017277,0.43336862199
13953.8094101,0.433371387642
13953.8170925,0.433374153294
13953.8247749,0.433376918947
13953.8324572,0.433379684599
13953.8468177,0.433384854365
13953.8611781,0.433390024131
13953.8755386,0.433395193897
13953.8898991,0.433400363663
13953.9042595,0.433405533429
13953.91862,0.433410703194
13953.9329804,0.43341587296
13953.9473409,0.433421042726
13953.9617014,0.433426212492
13953.9760618,0.433431382258
13953.9904223,0.433436552024
13954.0143476,0.433445165132
13954.0382729,0.43345377824
13954.0621982,0.433462391348
13954.0861235,0.433471004457
13954.1100488,0.433479617565
13954.121559,0.43348376125
13954.1330693,0.433487904935
13954.1445795,0.43349204862
13954.1560897,0.433496192304
13954.1676,0.433500335989
13954.1791102,0.433504479674
13954.1906204,0.433508623359
13954.2021307,0.433512767044
13954.2136409,0.433516910729
13954.2251512,0.433521054414
13954.2366614,0.433525198099
13954.2481716,0.433529341784
13954.2659512,0.433535742419
13954.2837307,0.433542143055
13954.3015103,0.43354854369
13954.3192898,0.433554944326
13954.3370693,0.433561344961
13954.3548489,0.433567745597
13954.3726284,0.433574146232
13954.390408,0.433580546868
13954.4081875,0.433586947503
13954.4259671,0.433593348139
13954.4437466,0.433599748774
13954.4615261,0.43360614941
13954.4793057,0.433612550045
13954.4970852,0.433618950681
13954.5148648,0.433625351316
13954.5249289,0.433628974406
13954.534993,0.433632597497
13954.5450572,0.433636220587
13954.5551213,0.433639843677
13954.5651855,0.433643466768
13954.5752496,0.433647089858
13954.5853137,0.433650712948
13954.5953779,0.433654336039
13954.605442,0.433657959129
13954.6155062,0.433661582219
13954.6255703,0.43366520531
13954.6356344,0.4336688284
13954.6456986,0.43367245149
13954.6557627,0.433676074581
13954.6658269,0.433679697671
13954.675891,0.433683320761
13954.6859551,0.433686943852
13954.6960193,0.433690566942
13954.7060834,0.433694190032
13954.7161476,0.433697813123
13954.7262117,0.433701436213
13954.7362758,0.433705059304
13954.74634,0.433708682394
13954.7564041,0.433712305484
13954.7664683,0.433715928575
13954.7765324,0.433719551665
13954.7865965,0.433723174755
13954.7966607,0.433726797846
13954.8067248,0.433730420936
13954.816789,0.433734044026
13954.8268531,0.433737667117
13954.8369172,0.433741290207
13954.8469814,0.433744913297
13954.8570455,0.433748536388
13954.8671097,0.433752159478
13954.8771738,0.433755782568
13954.8872379,0.433759405659
13954.8973021,0.433763028749
13954.9073662,0.433766651839
13954.9174304,0.43377027493
13954.9274945,0.43377389802
13954.9375586,0.43377752111
13954.9476228,0.433781144201
13954.9576869,0.433784767291
13954.9677511,0.433788390381
13954.9778152,0.433792013472
13954.9878793,0.433795636562
13954.9979435,0.433799259652
13955.0080076,0.433802882743
13955.0180718,0.433806505833
13955.0281359,0.433810128923
13955.0382,0.433813752014
13955.0482642,0.433817375104
13955.0583283,0.433820998194
13955.0683925,0.433824621285
13955.0844061,0.433830386202
13955.1004198,0.433836151118
13955.1164334,0.433841916035
13955.1324471,0.433847680952
13955.1484607,0.433853445869
13955.1644744,0.433859210786
13955.1804881,0.433864975703
13955.1965017,0.433870740619
13955.2125154,0.433876505536
13955.228529,0.433882270453
13955.2384334,0.433885836025
13955.2483378,0.433889401597
13955.2582421,0.43389296717
13955.2681465,0.433896532742
13955.2780509,0.433900098314
13955.2879552,0.433903663886
13955.2978596,0.433907229459
13955.307764,0.433910795031
13955.3236744,0.433916522779
13955.3395848,0.433922250528
13955.3554952,0.433927978276
13955.3714056,0.433933706024
13955.387316,0.433939433773
13955.4032264,0.433945161521
13955.4191369,0.43395088927
13955.4350473,0.433956617018
13955.4509577,0.433962344766
13955.4668681,0.433968072515
13955.4827785,0.433973800263
13955.4986889,0.433979528011
13955.5145993,0.43398525576
13955.5305097,0.433990983508
13955.5464202,0.433996711257
13955.5623306,0.434002439005
13955.578241,0.434008166753
13955.5941514,0.434013894502
13955.6100618,0.43401962225
13955.6259722,0.434025349999
13955.6418826,0.434031077747
13955.657793,0.434036805495
13955.6737035,0.434042533244
13955.6896139,0.434048260992
13955.7055243,0.434053988741
13955.7214347,0.434059716489
13955.7373451,0.434065444237
13955.7532555,0.434071171986
13955.7691659,0.434076899734
13955.7850763,0.434082627483
13955.8009868,0.434088355231
13955.8168972,0.434094082979
13955.8328076,0.434099810728
13955.848718,0.434105538476
13955.8646284,0.434111266225
13955.8805388,0.434116993973
13955.8964492,0.434122721721
13955.9211301,0.434131606848
13955.945811,0.434140491975
13955.970492,0.434149377102
13955.9951729,0.434158262229
13956.0198538,0.434167147356
13956.0445347,0.434176032483
13956.0692156,0.43418491761
13956.0938965,0.434193802737
13956.1185774,0.434202687864
13956.1432583,0.434211572991
13956.1679392,0.434220458117
13956.1926201,0.434229343244
13956.217301,0.434238228371
13956.2419819,0.434247113498
13956.2666628,0.434255998625
13956.2913438,0.434264883752
13956.3160247,0.434273768879
13956.3407056,0.434282654006
13956.3653865,0.434291539133
13956.3900674,0.43430042426
13956.4147483,0.434309309387
13956.4394292,0.434318194514
13956.4641101,0.434327079641
13956.488791,0.434335964767
13956.5134719,0.434344849894
13956.5381528,0.434353735021
13956.5628337,0.434362620148
13956.5875147,0.434371505275
13956.6121956,0.434380390402
13956.6368765,0.434389275529
13956.6615574,0.434398160656
13956.6862383,0.434407045783
13956.7109192,0.43441593091
13956.7480175,0.434429286293
