time_ms,current_nA
388.267,0.09
390.142,0.09
392.017,0.09
393.892,0.09
395.767,0.09
397.642,0.09
399.517,0.09
401.392,0.09
403.266,0.09
405.141,0.09
407.016,0.09
408.891,0.09
410.766,0.09
412.641,0.09
414.516,0.09
416.391,0.09
418.266,0.09
420.141,0.09
422.015,0.09
423.89,0.09
424.918,0.09
425.945,0.09
426.972,0.09
428,0.09
429.027,0.09
430.054,0.09
431.081,0.09
432.109,0.09
433.136,0.09
434.163,0.09
435.191,0.09
436.218,0.09
437.245,0.09
438.273,0.09
439.3,0.09
440.327,0.09
441.354,0.09
442.382,0.09
443.409,0.09
444.436,0.09
445.464,0.09
446.491,0.09
447.518,0.09
448.546,0.09
450.744,0.09
452.942,0.09
455.141,0.09
457.339,0.09
459.537,0.09
461.736,0.09
463.934,0.09
466.132,0.09
468.331,0.09
470.529,0.09
472.727,0.09
474.926,0.09
477.124,0.09
479.323,0.09
481.521,0.09
483.719,0.09
485.918,0.09
488.116,0.09
490.314,0.09
492.513,0.09
494.711,0.09
496.909,0.09
499.108,0.09
501.306,0.09
503.504,0.09
505.703,0.09
507.901,0.09
510.099,0.09
512.298,0.09
514.496,0.09
516.695,0.09
518.893,0.09
521.091,0.09
523.29,0.09
525.488,0.09
527.686,0.09
529.885,0.09
532.083,0.09
534.281,0.09
536.48,0.09
538.678,0.09
540.876,0.09
543.075,0.09
545.273,0.09
547.471,0.09
549.67,0.09
551.868,0.09
554.067,0.09
556.265,0.09
558.463,0.09
560.662,0.09
562.86,0.09
565.058,0.09
567.257,0.09
569.455,0.09
571.653,0.09
573.852,0.09
576.05,0.09
578.248,0.09
580.447,0.09
582.645,0.09
584.843,0.09
587.042,0.09
589.24,0.09
591.439,0.09
593.637,0.09
595.835,0.09
598.034,0.09
600.232,0.09
602.43,0.09
604.629,0.09
606.827,0.09
609.025,0.09
611.224,0.09
613.422,0.09
615.62,0.09
617.819,0.09
620.017,0.09
622.215,0.09
624.414,0.09
626.612,0.09
628.811,0.09
631.009,0.09
633.207,0.09
635.406,0.09
637.604,0.09
639.802,0.09
642.001,0.09
644.199,0.09
646.397,0.09
648.596,0.09
650.794,0.09
652.992,0.09
655.191,0.09
657.389,0.09
659.587,0.09
661.786,0.09
663.984,0.09
666.183,0.09
668.381,0.09
670.579,0.09
672.778,0.09
674.976,0.09
677.174,0.09
679.373,0.09
681.571,0.09
683.769,0.09
685.968,0.09
688.166,0.09
690.364,0.09
692.563,0.09
694.761,0.09
696.96,0.09
699.158,0.09
701.356,0.09
703.555,0.09
705.753,0.09
707.951,0.09
710.15,0.09
712.348,0.09
714.546,0.09
716.745,0.09
718.943,0.09
721.141,0.09
723.34,0.09
725.538,0.09
727.736,0.09
729.935,0.09
732.133,0.09
734.332,0.09
736.53,0.09
738.728,0.09
740.927,0.09
743.125,0.09
745.323,0.09
747.522,0.09
749.72,0.09
751.918,0.09
755.744,0.09
759.57,0.09
763.395,0.09
767.221,0.09
771.046,0.09
774.872,0.09
778.698,0.09
782.523,0.09
786.349,0.09
790.174,0.09
794,0.09
797.826,0.09
801.651,0.09
805.477,0.09
809.302,0.09
813.128,0.09
816.954,0.09
820.779,0.09
824.605,0.09
828.431,0.09
832.256,0.09
836.082,0.09
839.907,0.09
843.733,0.09
849.93,0.09
856.127,0.09
862.324,0.09
868.521,0.09
874.718,0.09
880.915,0.09
887.112,0.09
893.309,0.09
894.858,0.09
896.408,0.09
897.957,0.09
899.506,0.09
901.055,0.09
902.605,0.09
904.154,0.09
905.703,0.09
907.252,0.09
908.802,0.09
910.351,0.09
911.9,0.09
913.45,0.09
914.999,0.09
916.548,0.09
918.097,0.09
919.647,0.09
921.196,0.09
922.745,0.09
924.294,0.09
925.844,0.09
927.393,0.09
928.942,0.09
930.491,0.09
932.041,0.09
933.59,0.09
935.139,0.09
936.688,0.09
938.238,0.09
939.787,0.09
941.336,0.09
942.885,0.09
944.435,0.09
945.984,0.09
947.533,0.09
949.082,0.09
950.632,0.09
952.181,0.09
953.73,0.09
955.279,0.09
956.829,0.09
958.378,0.09
959.927,0.09
962.384,0.09
964.84,0.09
967.296,0.09
969.753,0.09
972.209,0.09
974.665,0.09
977.122,0.09
979.578,0.09
982.034,0.09
984.491,0.09
986.947,0.09
989.403,0.09
991.86,0.09
994.316,0.09
998.023,0.09
1001.73,0.09
1005.44,0.09
1009.14,0.09
1012.85,0.09
1016.56,0.09
1020.26,0.09
1023.97,0.09
1027.68,0.09
1031.38,0.09
1035.09,0.09
1038.8,0.09
1042.51,0.09
1046.21,0.09
1049.92,0.09
1053.63,0.09
1057.33,0.09
1061.04,0.09
1064.75,0.09
1068.45,0.09
1072.16,0.09
1075.87,0.09
1079.57,0.09
1083.28,0.09
1086.99,0.09
1090.69,0.09
1094.4,0.09
1098.11,0.09
1101.82,0.09
1105.52,0.09
1109.23,0.09
1112.94,0.09
1116.64,0.09
1120.35,0.09
1124.06,0.09
1127.76,0.09
1131.47,0.09
1135.18,0.09
1138.88,0.09
1142.59,0.09
1146.3,0.09
1150,0.09
1153.71,0.09
1157.42,0.09
1161.13,0.09
1164.83,0.09
1168.54,0.09
1172.25,0.09
1175.95,0.09
1179.66,0.09
1183.37,0.09
1187.07,0.09
1190.78,0.09
1194.49,0.09
1198.19,0.09
1201.9,0.09
1205.61,0.09
1209.31,0.09
1213.02,0.09
1216.73,0.09
1220.43,0.09
1224.14,0.09
1227.85,0.09
1231.56,0.09
1235.26,0.09
1238.97,0.09
1242.68,0.09
1246.38,0.09
1250.09,0.09
1253.8,0.09
1257.5,0.09
1261.21,0.09
1264.92,0.09
