time_ms,voltage_mv
13726.8462452,-38.8739814484
13726.8669179,-38.9386558941
13726.8875906,-39.004228748
13726.9082633,-39.0706709506
13726.928936,-39.137953442
13726.9496087,-39.2060471885
13726.9702814,-39.2749232372
13726.9909541,-39.3445527373
13727.0116268,-39.4149069607
13727.0322995,-39.4859573301
13727.0529722,-39.5576754515
13727.0736449,-39.6300331435
13727.0943176,-39.703002481
13727.1149903,-39.7765558728
13727.135663,-39.8506660055
13727.1563357,-39.9253058254
13727.1770084,-40.0004486041
13727.1976811,-40.0760679949
13727.2183538,-40.1521380214
13727.2390265,-40.2286330783
13727.2596992,-40.3055279681
13727.2803719,-40.3827979299
13727.3010446,-40.4604186513
13727.3217173,-40.5383662768
13727.3423899,-40.6166174123
13727.3630626,-40.6951491426
13727.3837353,-40.7739390533
13727.404408,-40.85296523
13727.4250807,-40.9322062633
13727.4457534,-41.0116412582
13727.4664261,-41.0912498403
13727.4870988,-41.1710121574
13727.5192665,-41.2953865441
13727.5514343,-41.420016327
13727.583602,-41.5448350002
13727.6157697,-41.669779025
13727.6479374,-41.7947870619
13727.6801052,-41.9198006646
13727.7122729,-42.0447644961
13727.7444406,-42.169625965
13727.7766083,-42.2943350405
13727.808776,-42.4188443851
13727.8409438,-42.5431118564
13727.8731115,-42.6670952878
13727.9052792,-42.7907541783
13727.954152,-42.9779254858
13728.0030248,-43.1641395262
13728.0518976,-43.3492827561
13728.1007704,-43.5332532256
13728.1496432,-43.7159585849
13728.198516,-43.8973159132
13728.2473888,-44.0772511171
13728.2962616,-44.2556985035
13728.3451344,-44.4325999446
13728.4210312,-44.7041353693
13728.4969279,-44.9716603052
13728.5728247,-45.2350482067
13728.6487214,-45.4942018949
13728.7246182,-45.7490516334
13728.8005149,-45.9995528369
13728.8764117,-46.2456826709
13728.9523085,-46.4874374137
13729.0827519,-46.892769235
13729.2131953,-47.2854108836
13729.3436387,-47.6656548061
13729.4740821,-48.0338760287
13729.6045255,-48.390504424
13729.7349689,-48.7359953068
13729.8654123,-49.0708061809
13729.9958557,-49.3953857704
13730.1262991,-49.7101629227
13730.2567426,-50.0155364855
13730.387186,-50.3118720692
13730.5176294,-50.5995099868
13730.6480728,-50.8787675629
13730.7785162,-51.1499379224
13730.9089596,-51.4132902253
13731.039403,-51.6690796909
13731.1698464,-51.9175490606
13731.3002898,-52.1589258907
13731.4307333,-52.3934207882
