time_ms,voltage_mv,current_nA
0,-70,0
0.0067887700818,-69.9917729056,0
0.0135775401636,-69.9860751169,0
0.0295013737688,-69.9764968987,0
0.05547454899,-69.9638751983,0
0.0814477242112,-69.952617399,0
0.124875871716,-69.9355752405,0
0.19136358369,-69.9110174668,0
0.257851295664,-69.8877139061,0
0.416057904495,-69.8345351279,0
0.574264513325,-69.7831814304,0
0.732471122156,-69.7324581706,0
0.890677730986,-69.6818854548,0
1.14065426331,-69.6018156179,0
1.39063079563,-69.5214160737,0
1.64060732795,-69.4405715247,0
2.07849992414,-69.2977702713,0
2.51639252032,-69.1534687692,0
3.18085005193,-68.9319429676,0
3.84530758353,-68.70784901,0
4.50976511514,-68.4818836376,0
5.17422264674,-68.2547662921,0
5.83868017835,-68.0271653421,0
6.92391852064,-67.6559238465,0
8.00915686293,-67.2873610897,0
9.09439520522,-66.9235240531,0
10.1796335475,-66.5661043543,0
11.8540052041,-66.0302003498,0
13.5283768608,-65.5165528671,0
15.2027485174,-65.0277535511,0
16.877120174,-64.5652167172,0
18.5514918307,-64.1297508455,0
20.2258634873,-63.7212475025,0
21.9002351439,-63.3393744039,0
23.5746068005,-62.9833566724,0
25.2489784572,-62.6524344597,0
26.9233501138,-62.3453729474,0
28.5977217704,-62.061085549,0
30.272093427,-61.7984032983,0
31.9464650837,-61.5562683024,0
33.6208367403,-61.3334699057,0
35.2952083969,-61.1289483996,0
36.9695800536,-60.9414277297,0
38.6439517102,-60.7699717619,0
40.3183233668,-60.6134471539,0
41.9926950234,-60.4711059667,0
43.0021172408,-60.3916754603,0
44.0115394582,-60.3168612763,0
45.0209616755,-60.2464214375,0
46.0303838929,-60.180166294,0
47.0398061103,-60.1178769415,0
48.7050878651,-60.0233553128,0
50.3703696199,-59.9384934175,0
52.0356513747,-59.8629158783,0
53.7009331295,-59.7955992982,0
55.3662148843,-59.7366487571,0
57.031496639,-59.6847916148,0
58.6967783938,-59.6399497055,0
60.3620601486,-59.6012356433,0
62.0273419034,-59.5685944372,0
63.6926236582,-59.5413208192,0
65.357905413,-59.5193716693,0
67.0231871678,-59.5020855899,0
68.6884689226,-59.4894626038,0
70.3537506774,-59.4808651442,0
72.0190324322,-59.4763897198,0
72.4353528709,-59.4758531139,0
72.8516733096,-59.4755264349,0
73.2679937483,-59.475414279,0
74.5984441459,-59.4763037394,0
75.9288945434,-59.4793233214,0
77.259344941,-59.4843057598,0
78.5897953385,-59.4914257289,0
79.9202457361,-59.5003665297,0
81.2506961337,-59.5111587849,0
82.5811465312,-59.5234941548,0
83.9115969288,-59.5374162922,0
85.2420473263,-59.5526796442,0
86.5724977239,-59.56930573,0
87.9029481215,-59.5869368449,0
89.233398519,-59.6057551925,0
90.5638489166,-59.6255022653,0
91.8942993142,-59.6462492158,0
93.2247497117,-59.6677555476,0
94.5552001093,-59.6901426945,0
95.8856505068,-59.7130339913,0
97.2161009044,-59.7364235213,0
98.546551302,-59.7599436139,0
99.8770016995,-59.783667456,0
101.207452097,-59.8076479526,0
104.718867895,-59.8711976546,0
108.230283693,-59.9352046144,0
111.741699491,-59.9980448655,0
115.253115289,-60.0590658729,0
118.764531087,-60.1167986058,0
122.275946885,-60.1717329218,0
125.787362683,-60.2230424952,0
129.298778481,-60.2708104939,0
132.810194279,-60.3142322184,0
136.321610077,-60.353747105,0
139.833025875,-60.389416856,0
145.417885436,-60.4389038876,0
151.002744997,-60.4795415699,0
156.587604558,-60.5122281005,0
162.172464119,-60.537813299,0
167.75732368,-60.5567284137,0
173.342183241,-60.5706832421,0
178.927042801,-60.5806130106,0
184.511902362,-60.5867611643,0
190.096761923,-60.5906716914,0
195.681621484,-60.5912809096,0
201.266481045,-60.5903896086,0
206.851340606,-60.5885347223,0
212.436200167,-60.5855186703,0
218.021059727,-60.5822646201,0
223.605919288,-60.5790254601,0
229.190778849,-60.5752847954,0
234.77563841,-60.571740775,0
240.360497971,-60.5684129935,0
245.945357532,-60.5651384137,0
251.530217092,-60.5621691011,0
257.115076653,-60.5592956891,0
262.699936214,-60.5566628775,0
268.284795775,-60.5543889624,0
273.869655336,-60.5521813954,0
279.454514897,-60.5500878694,0
285.039374458,-60.5481410426,0
296.232111053,-60.5443927264,0
307.424847649,-60.5414632625,0
318.617584245,-60.5387147908,0
329.810320841,-60.5356315746,0
341.003057437,-60.5333638834,0
352.195794033,-60.5311680972,0
363.388530629,-60.528440088,0
374.581267225,-60.5263940718,0
385.774003821,-60.5243049367,0
396.966740417,-60.5216453114,0
408.159477013,-60.5196446843,0
419.352213608,-60.5175623758,0
430.544950204,-60.5148972959,0
441.7376868,-60.5129084635,0
452.930423396,-60.5108318933,0
464.123159992,-60.508148177,0
475.315896588,-60.5061742056,0
486.508633184,-60.5041194631,0
497.70136978,-60.5020678161,0
523.290270145,-60.4965125211,0
529.687495236,-60.4952798906,0
536.084720327,-60.494061897,0
542.481945418,-60.4927370017,0
554.629938878,-60.490326615,0
566.777932339,-60.488262598,0
590.014301374,-60.4829496997,0
602.013477223,-60.4808612228,0
614.012653072,-60.4783539577,0
626.011828922,-60.4766440499,0
629.011622884,-60.4762589389,0
632.011416846,-60.475880253,0
635.011210809,-60.4755648277,0
638.011004771,-60.4749882849,0
641.010798733,-60.4743640969,0
644.010592696,-60.4736881359,0
647.010386658,-60.4729865251,0
653.302445423,-60.4715589847,0
659.594504187,-60.4702011388,0
663.779410791,-60.469350704,0
667.964317394,-60.4685352892,0
672.149223997,-60.46767159,0
681.61105746,-60.4660187646,0
691.072890924,-60.4642550645,0
700.534724387,-60.4625960268,0
709.996557851,-60.4610390346,0
715.994245946,-60.4601062288,0
721.991934041,-60.4589592905,0
727.989622136,-60.4578582733,0
733.987310231,-60.4568053852,0
749.723260075,-60.453612469,0
765.45920992,-60.4508081539,0
781.195159764,-60.4476198895,0
796.931109608,-60.4448784608,0
812.667059453,-60.4417443229,0
828.403009297,-60.4390719139,0
844.138959141,-60.435985036,0
859.874908985,-60.4333664831,0
875.61085883,-60.4303107003,0
891.346808674,-60.4277337711,0
907.082758518,-60.4246986798,0
922.818708363,-60.4221586699,0
938.554658207,-60.4191392142,0
954.290608051,-60.4166356817,0
970.026557896,-60.4136290681,0
985.76250774,-60.4111633709,0
1001.49845758,-60.4081674579,0
1005.43244505,-60.4074887297,0
1009.36643251,-60.4067789199,0
1013.30041997,-60.4060733041,0
1017.23440743,-60.4054501946,0
1023.89183475,-60.4043153286,0
1030.54926207,-60.4032001459,0
1041.58217242,-60.4014547539,0
1064.08640931,-60.3974973988,0
1086.59064621,-60.3938410422,0
1109.09488311,-60.3905222052,0
1147.72478995,-60.3831668503,0
1162.20153706,-60.3812258278,0
1176.67828416,-60.3786064159,0
1191.15503127,-60.3766679704,0
1205.63177837,-60.3748550115,0
1220.10852548,-60.3717405686,0
1234.58527258,-60.3688630443,0
1238.20445936,-60.3682303838,0
1241.82364614,-60.3676260368,0
1245.44283291,-60.3671080059,0
1251.12114116,-60.3662584194,0
1256.7994494,-60.3654548052,0
1265.70750446,-60.3642292436,0
1301.29248036,-60.3584322368,0
1336.87745627,-60.3537877709,0
1372.46243217,-60.3470841952,0
1408.04740808,-60.3400682002,0
1416.94365205,-60.3391680439,0
1425.83989603,-60.3378985861,0
1434.73614,-60.337083354,0
1443.63238398,-60.3362859125,0
1452.52862796,-60.3348318471,0
1461.42487193,-60.3336352969,0
1470.32111591,-60.3330286329,0
1473.90311625,-60.3326382146,0
1477.48511659,-60.3321567562,0
1481.06711692,-60.3316989268,0
1484.64911726,-60.3312289494,0
1491.46281516,-60.3302168774,0
1498.27651305,-60.32924242,0
1505.09021095,-60.3282513379,0
1511.90390884,-60.3270806153,0
1518.71760674,-60.3260219544,0
1525.53130464,-60.3249531135,0
1532.34500253,-60.32382585,0
1545.23257123,-60.3219009287,0
1558.12013992,-60.3199268783,0
1571.00770862,-60.317841521,0
1601.95519568,-60.3136609729,0
1632.90268275,-60.3085703593,0
1663.85016981,-60.3049837692,0
1694.79765687,-60.3018180003,0
1702.53452864,-60.3005318718,0
1710.27140041,-60.2994200457,0
1718.00827217,-60.2980614714,0
1725.74514394,-60.2966692584,0
1733.4820157,-60.2955767176,0
1741.21888747,-60.2943598744,0
1748.95575924,-60.2929029164,0
1756.692631,-60.2917159703,0
1764.42950277,-60.2908635614,0
1772.16637453,-60.2895958679,0
1779.9032463,-60.288194517,0
1787.64011807,-60.287378485,0
1795.37698983,-60.2866122059,0
1803.1138616,-60.2850814616,0
1810.85073336,-60.2838731643,0
1818.58760513,-60.2834390649,0
1821.41591111,-60.2831818544,0
1824.2442171,-60.2828434213,0
1828.61007769,-60.2823075861,0
1832.97593828,-60.2817021656,0
1837.34179887,-60.2810854535,0
1844.80021674,-60.2800448275,0
1860.31370767,-60.2778318425,0
1867.58796717,-60.2768603838,0
1874.86222667,-60.2758427863,0
1882.13648617,-60.2748447789,0
1895.08969846,-60.2731858679,0
1908.04291076,-60.2713733311,0
1920.99612306,-60.2695892451,0
1933.94933536,-60.2680138992,0
1953.92015958,-60.2654815871,0
1973.8909838,-60.2623489247,0
1993.86180803,-60.2600828447,0
2013.83263225,-60.2566175166,0
2023.81901214,-60.2553086479,0
2033.80539203,-60.2538139176,0
2043.79177192,-60.2528421755,0
2053.77815181,-60.2528629877,0
2056.27474678,-60.2529207998,0
2058.77134176,-60.2529580785,0
2061.26793673,-60.2529258456,0
2067.51479892,-60.2524274086,0
2073.76166111,-60.2517559537,0
2084.21256943,-60.2502923146,0
2094.66347776,-60.2487560713,0
2112.02640269,-60.2461982541,0
2138.86471735,-60.2420479552,0
2165.70303202,-60.2383768973,0
2192.54134668,-60.2351620491,0
2219.37966135,-60.2308672224,0
2232.85281168,-60.2294610436,0
2246.32596202,-60.2276505317,0
2259.79911236,-60.2268102038,0
2266.95960244,-60.226257432,0
2274.12009252,-60.2257344103,0
2281.2805826,-60.2248093461,0
2288.44107268,-60.2235588698,0
2295.60156276,-60.2233195272,0
2299.03875711,-60.2233035072,0
2302.47595146,-60.2231936925,0
2305.91314581,-60.2230864902,0
2311.27570668,-60.2226645774,0
2316.63826755,-60.222001086,0
2322.00082842,-60.2216033753,0
2327.36338929,-60.2210917211,0
2332.72595017,-60.220463883,0
2338.08851104,-60.2197997346,0
2349.6238709,-60.2176558645,0
2361.15923076,-60.2161396423,0
2372.69459062,-60.214369632,0
2384.22995048,-60.2129025834,0
2395.76531034,-60.2114395457,0
2407.30067021,-60.209951592,0
2451.56907648,-60.2052569956,0
2495.83748276,-60.1995629433,0
2540.10588904,-60.1962647672,0
2554.42179412,-60.1941632714,0
2568.7376992,-60.1929420953,0
2583.05360427,-60.1909119686,0
2597.36950935,-60.189632707,0
2611.68541443,-60.1877222762,0
2626.0013195,-60.1866016302,0
2640.31722458,-60.1856059829,0
2643.89620085,-60.185274793,0
2647.47517712,-60.184972446,0
2651.05415339,-60.1846371884,0
2657.90580948,-60.183864951,0
2674.44725423,-60.1819504944,0
2690.98869898,-60.1798735787,0
2720.48491609,-60.1769050773,0
2749.9811332,-60.1732483529,0
2779.47735031,-60.1708742429,0
2786.85140459,-60.1700985458,0
2794.22545887,-60.1693334311,0
2801.59951315,-60.1687085248,0
2816.39404003,-60.1671967536,0
2831.18856691,-60.1655917343,0
2845.98309379,-60.1647720685,0
2860.77762067,-60.1630454375,0
2875.57214755,-60.1615915056,0
2890.36667443,-60.1632793168,0
2896.08804147,-60.1636964664,0
2899.01697267,-60.163606174,0
2901.94590387,-60.163352869,0
2904.87483507,-60.1628866332,0
2910.02655813,-60.1620239627,0
2915.17828119,-60.1611352683,0
2920.33000425,-60.1601170169,0
2929.02967446,-60.158551144,0
2937.72934468,-60.1570290755,0
2946.42901489,-60.1554851517,0
2955.12868511,-60.1544152989,0
2963.82835532,-60.1530427466,0
2972.52802554,-60.1520267063,0
2981.22769575,-60.1511762533,0
2989.92736597,-60.1501099174,0
2998.62703618,-60.1492609988,0
3007.3267064,-60.1482222921,0
3016.02637661,-60.1478149824,0
3024.72604683,-60.1470952809,0
3033.42571704,-60.1463374985,0
3042.12538726,-60.1455058898,0
3050.82505747,-60.1445985167,0
3059.52472768,-60.14395144,0
3068.2243979,-60.1429936003,0
3076.92406811,-60.1420979951,0
3085.62373833,-60.1413680757,0
3094.32340854,-60.1404411105,0
3103.02307876,-60.1395824794,0
3111.72274897,-60.1388399998,0
3120.42241919,-60.1379658794,0
3129.1220894,-60.1371262358,0
3146.67855969,-60.1357557392,0
3164.23502999,-60.1338469994,0
3181.79150028,-60.1321265241,0
3199.34797057,-60.1308922643,0
3216.90444086,-60.1290815086,0
3234.46091115,-60.127894489,0
3252.01738144,-60.1260548795,0
3269.57385174,-60.1249420643,0
3287.13032203,-60.1230578211,0
3304.68679232,-60.1220150549,0
3322.24326261,-60.1200667353,0
3339.7997329,-60.1190979622,0
3357.35620319,-60.1170789632,0
3374.91267349,-60.1161985784,0
3392.46914378,-60.1141070113,0
3410.02561407,-60.1133296213,0
3417.0611552,-60.1126705099,0
